,gold,tower,kill,blue_result,red_result
3356,0.00012447281859349874,0.00018637118362644438,0.00014161364022582655,1,0
3357,0.00012112200472183329,5.082850462539392e-05,8.496818413549593e-05,0,1
3358,8.966610901816771e-05,3.388566975026261e-05,2.832272804516531e-05,0,1
3359,0.00010431574200101906,0.00018637118362644438,0.00014161364022582655,1,0
3360,0.00013246466625750828,0.00015248551387618176,0.00014161364022582655,1,0
3361,9.077887150639056e-05,1.6942834875131306e-05,6.608636543871906e-05,0,1
3362,9.407122881207057e-05,6.777133950052523e-05,2.832272804516531e-05,0,1
3363,0.00012864202438896035,3.388566975026261e-05,4.7204546741942184e-05,0,1
3364,8.240914389797514e-05,1.6942834875131306e-05,3.776363739355375e-05,0,1
3365,0.00016967435824174083,0.0002033140185015757,0.00014161364022582655,1,0
3366,0.00011935995680427214,6.777133950052523e-05,3.776363739355375e-05,0,1
3367,9.994193822460841e-05,5.082850462539392e-05,4.7204546741942184e-05,0,1
3368,0.00014106195692636703,0.0002033140185015757,0.0001038500028322728,1,0
3369,0.00010161212582419243,1.6942834875131306e-05,3.776363739355375e-05,0,1
3370,0.00023909153034945175,0.00018637118362644438,0.00014161364022582655,1,0
3371,0.00013160869511272147,0.0002033140185015757,0.0001038500028322728,1,0
3372,0.00022448573979108946,0.00016942834875131307,0.00013217273087743811,0,1
3373,0.00012486740041390046,0.00018637118362644438,0.0002549045524064878,1,0
3374,8.158031330168157e-05,6.777133950052523e-05,6.608636543871906e-05,0,1
3375,0.00016302074839189798,0.00018637118362644438,0.0002549045524064878,1,0
3376,0.0001215186742767345,0.00010165700925078785,0.00016049545892260342,0,1
3377,0.00011949774728123784,6.777133950052523e-05,0.000151054549574215,0,1
3378,0.00010028850215152209,8.471417437565654e-05,0.00013217273087743811,0,1
3379,0.00014777819881119428,8.471417437565654e-05,7.55272747871075e-05,0,1
3380,0.0001258256705491618,0.00016942834875131307,0.00026434546175487623,1,0
3381,0.00012389869160614174,0.00010165700925078785,0.00013217273087743811,0,1
3382,6.80705833555463e-05,5.082850462539392e-05,3.776363739355375e-05,0,1
3383,0.00011032632962502208,8.471417437565654e-05,0.00013217273087743811,0,1
3384,7.395590690958051e-05,1.6942834875131306e-05,8.496818413549593e-05,0,1
3385,0.00010773336337666787,6.777133950052523e-05,9.440909348388437e-05,0,1
3386,6.029168461048372e-05,3.388566975026261e-05,1.8881818696776873e-05,0,1
3387,0.00012664615020745745,0.00015248551387618176,0.00023602273370971092,1,0
3388,0.00011208002660458529,0.00016942834875131307,0.0001793772776193803,1,0
