,split,goldblue,goldred,bTowers,rTowers,bKills,rKills,bResult,rResult
899,"10798    2018-1
Name: split, dtype: object",36984,54362,1,10,3,24,0,1
900,"10810    2018-1
Name: split, dtype: object",82533,76221,8,7,11,8,1,0
901,"10822    2018-1
Name: split, dtype: object",41098,57127,1,10,5,22,0,1
902,"10834    2018-1
Name: split, dtype: object",57193,38962,10,1,22,6,1,0
903,"10846    2018-1
Name: split, dtype: object",63533,72544,3,8,8,17,0,1
904,"10858    2018-1
Name: split, dtype: object",67842,79658,2,11,15,18,0,1
905,"10870    2018-1
Name: split, dtype: object",46979,60910,1,10,5,18,0,1
906,"10882    2018-1
Name: split, dtype: object",93772,87967,9,5,12,9,1,0
907,"10894    2018-1
Name: split, dtype: object",70446,55742,9,0,18,10,1,0
908,"10906    2018-1
Name: split, dtype: object",54625,42041,9,2,16,7,1,0
909,"10918    2018-1
Name: split, dtype: object",80699,66818,11,3,10,5,1,0
910,"10930    2018-1
Name: split, dtype: object",77507,60343,9,2,11,5,1,0
911,"10942    2018-1
Name: split, dtype: object",63825,74909,3,11,6,17,0,1
912,"10954    2018-1
Name: split, dtype: object",65909,58538,9,5,13,5,1,0
913,"10966    2018-1
Name: split, dtype: object",78155,72710,11,5,6,10,1,0
914,"10978    2018-1
Name: split, dtype: object",60954,67821,5,8,10,14,0,1
915,"10990    2018-1
Name: split, dtype: object",75719,85963,2,11,12,18,0,1
916,"11002    2018-1
Name: split, dtype: object",44232,54358,0,8,5,16,0,1
917,"11014    2018-1
Name: split, dtype: object",50858,62142,2,8,5,15,0,1
918,"11026    2018-1
Name: split, dtype: object",36565,49667,2,9,1,11,0,1
919,"11038    2018-1
Name: split, dtype: object",62173,63618,7,7,12,14,0,1
920,"11050    2018-1
Name: split, dtype: object",45908,60523,2,8,7,20,0,1
921,"11062    2018-1
Name: split, dtype: object",51649,67661,1,11,6,24,0,1
922,"11074    2018-1
Name: split, dtype: object",45070,60759,2,9,9,24,0,1
923,"11086    2018-1
Name: split, dtype: object",40672,57536,2,10,1,16,0,1
924,"11098    2018-1
Name: split, dtype: object",63979,78569,2,10,12,20,0,1
925,"11110    2018-1
Name: split, dtype: object",69755,62363,9,3,19,15,1,0
926,"11122    2018-1
Name: split, dtype: object",45857,34176,8,0,15,6,1,0
927,"11134    2018-1
Name: split, dtype: object",39167,48049,3,10,1,8,0,1
928,"11146    2018-1
Name: split, dtype: object",73879,53925,10,1,22,4,1,0
929,"11158    2018-1
Name: split, dtype: object",59103,50817,11,3,12,8,1,0
930,"11170    2018-1
Name: split, dtype: object",79074,82869,4,9,17,19,0,1
931,"11182    2018-1
Name: split, dtype: object",59194,70135,3,10,9,18,0,1
932,"11194    2018-1
Name: split, dtype: object",42517,58458,0,11,5,16,0,1
933,"11206    2018-1
Name: split, dtype: object",39128,54683,1,10,6,18,0,1
934,"11218    2018-1
Name: split, dtype: object",56160,37933,9,1,26,5,1,0
935,"11230    2018-1
Name: split, dtype: object",66215,52178,9,0,15,5,1,0
936,"11242    2018-1
Name: split, dtype: object",50698,61206,0,7,6,13,0,1
937,"11254    2018-1
Name: split, dtype: object",49276,59454,2,9,4,13,0,1
938,"11266    2018-1
Name: split, dtype: object",78383,96970,0,11,3,12,0,1
939,"11278    2018-1
Name: split, dtype: object",74906,82083,5,10,8,12,0,1
940,"11290    2018-1
Name: split, dtype: object",65418,73657,3,10,11,16,0,1
941,"11302    2018-1
Name: split, dtype: object",53255,39634,7,0,20,8,1,0
942,"11314    2018-1
Name: split, dtype: object",68180,57894,8,2,15,7,1,0
943,"11326    2018-1
Name: split, dtype: object",56198,65639,1,11,4,10,0,1
944,"11338    2018-1
Name: split, dtype: object",45657,54797,2,10,1,12,0,1
945,"11350    2018-1
Name: split, dtype: object",39461,59196,0,11,3,14,0,1
946,"11362    2018-1
Name: split, dtype: object",59962,47299,11,0,11,2,1,0
947,"11374    2018-1
Name: split, dtype: object",60486,77745,0,11,4,12,0,1
948,"11386    2018-1
Name: split, dtype: object",56201,43109,10,0,7,1,1,0
949,"11398    2018-1
Name: split, dtype: object",56738,66714,2,9,6,15,0,1
950,"11410    2018-1
Name: split, dtype: object",51001,60715,1,9,0,3,0,1
951,"11422    2018-1
Name: split, dtype: object",51235,67403,0,11,0,11,0,1
952,"11434    2018-1
Name: split, dtype: object",70283,54095,9,0,21,5,1,0
953,"11446    2018-1
Name: split, dtype: object",48599,64315,1,9,7,20,0,1
954,"11458    2018-1
Name: split, dtype: object",56773,43777,8,1,13,3,1,0
955,"11470    2018-1
Name: split, dtype: object",59929,73036,1,11,10,20,0,1
956,"11482    2018-1
Name: split, dtype: object",61149,45929,11,0,6,2,1,0
957,"11494    2018-1
Name: split, dtype: object",47689,57579,3,11,4,16,0,1
958,"11506    2018-1P
Name: split, dtype: object",65801,50372,11,0,15,6,1,0
959,"11518    2018-1P
Name: split, dtype: object",38220,50685,1,9,6,18,0,1
960,"11530    2018-1P
Name: split, dtype: object",78776,74885,11,6,17,8,1,0
961,"11542    2018-1P
Name: split, dtype: object",56889,49778,9,5,12,9,1,0
962,"11554    2018-1P
Name: split, dtype: object",58707,72749,3,10,5,16,0,1
963,"11566    2018-1P
Name: split, dtype: object",43651,59484,1,11,2,13,0,1
964,"11578    2018-1P
Name: split, dtype: object",49773,62690,0,9,5,14,0,1
965,"11590    2018-1
Name: split, dtype: object",61186,47229,9,0,12,3,1,0
966,"11602    2018-1
Name: split, dtype: object",46091,58260,2,9,3,21,0,1
967,"11614    2018-1
Name: split, dtype: object",68388,56289,10,2,16,6,1,0
968,"11626    2018-1
Name: split, dtype: object",36861,47380,1,8,4,13,0,1
969,"11638    2018-1
Name: split, dtype: object",50761,64236,1,10,10,20,0,1
970,"11650    2018-1
Name: split, dtype: object",68627,74704,4,8,12,13,0,1
971,"11662    2018-1
Name: split, dtype: object",63749,73042,3,8,7,14,0,1
972,"11674    2018-1
Name: split, dtype: object",70846,74997,3,10,10,12,0,1
973,"11686    2018-1
Name: split, dtype: object",46686,31373,10,0,10,5,1,0
974,"11698    2018-1
Name: split, dtype: object",41140,59980,1,10,10,25,0,1
975,"11710    2018-1
Name: split, dtype: object",53026,40479,9,0,13,7,1,0
976,"11722    2018-1
Name: split, dtype: object",38884,48584,1,8,9,13,0,1
977,"11734    2018-1
Name: split, dtype: object",53130,63384,0,10,9,13,0,1
978,"11746    2018-1
Name: split, dtype: object",73319,79062,7,8,18,21,0,1
979,"11758    2018-1
Name: split, dtype: object",62359,43324,11,0,15,4,1,0
980,"11770    2018-1
Name: split, dtype: object",104841,92549,11,3,23,11,1,0
981,"11782    2018-1
Name: split, dtype: object",61798,79519,2,10,6,13,0,1
982,"11794    2018-1
Name: split, dtype: object",45569,62844,2,9,5,16,0,1
983,"11806    2018-1
Name: split, dtype: object",62508,69147,6,10,17,21,0,1
984,"11818    2018-1
Name: split, dtype: object",42089,53697,2,7,2,9,0,1
985,"11830    2018-1
Name: split, dtype: object",83464,68410,11,2,17,3,1,0
986,"11842    2018-1
Name: split, dtype: object",68160,79975,3,11,14,20,0,1
987,"11854    2018-1
Name: split, dtype: object",46854,65759,1,10,8,19,0,1
988,"11866    2018-1
Name: split, dtype: object",38555,52365,1,7,5,18,0,1
989,"11878    2018-1
Name: split, dtype: object",66328,46123,11,1,16,1,1,0
990,"11890    2018-1
Name: split, dtype: object",93130,78023,11,3,18,11,1,0
991,"11902    2018-1
Name: split, dtype: object",48652,32945,10,0,14,2,1,0
992,"11914    2018-1
Name: split, dtype: object",48454,39978,7,4,14,6,1,0
993,"11926    2018-1
Name: split, dtype: object",37700,52808,1,9,5,16,0,1
994,"11938    2018-1
Name: split, dtype: object",73532,68742,11,4,11,10,1,0
995,"11950    2018-1
Name: split, dtype: object",75412,65815,9,4,21,7,1,0
996,"11962    2018-1
Name: split, dtype: object",79979,65735,11,2,10,8,1,0
997,"11974    2018-1
Name: split, dtype: object",53508,35725,10,0,12,3,1,0
998,"11986    2018-1P
Name: split, dtype: object",44703,52026,4,7,4,13,0,1
999,"11998    2018-1P
Name: split, dtype: object",66124,75984,3,11,7,12,0,1
1000,"12010    2018-1P
Name: split, dtype: object",81318,87911,7,9,11,17,0,1
1001,"12022    2018-1P
Name: split, dtype: object",32966,48370,1,10,2,15,0,1
1002,"12034    2018-1P
Name: split, dtype: object",55420,64542,2,11,10,13,0,1
1003,"12046    2018-1P
Name: split, dtype: object",80145,80737,11,6,15,27,0,1
1004,"12058    2018-1P
Name: split, dtype: object",76463,66141,11,3,21,16,1,0
1005,"12070    2018-1P
Name: split, dtype: object",92158,91969,7,10,30,19,0,1
1006,"12082    2018-1P
Name: split, dtype: object",76461,72121,9,5,7,6,1,0
1007,"12094    2018-1P
Name: split, dtype: object",55956,60603,4,9,7,13,0,1
1008,"12106    2018-1P
Name: split, dtype: object",75838,66801,9,4,10,9,1,0
1009,"12118    2018-1P
Name: split, dtype: object",58725,46505,11,0,8,3,1,0
1010,"12130    2018-1P
Name: split, dtype: object",74501,68847,9,5,17,10,1,0
1011,"12142    2018-1P
Name: split, dtype: object",44902,56022,2,7,2,13,0,1
1012,"12154    2018-1P
Name: split, dtype: object",62220,49806,10,3,16,3,1,0
1013,"12166    2018-1
Name: split, dtype: object",33404,49749,0,9,0,9,0,1
1014,"12178    2018-1
Name: split, dtype: object",44025,63675,0,9,6,25,0,1
1015,"12190    2018-1
Name: split, dtype: object",86077,87363,8,11,17,17,1,0
1016,"12202    2018-1
Name: split, dtype: object",63814,51115,10,3,16,6,1,0
1017,"12214    2018-1
Name: split, dtype: object",89109,79656,11,2,17,8,1,0
1018,"12226    2018-1
Name: split, dtype: object",72903,77084,6,7,5,6,0,1
1019,"12238    2018-1
Name: split, dtype: object",56511,61875,4,7,3,11,0,1
1020,"12250    2018-1
Name: split, dtype: object",57843,48160,8,1,10,6,1,0
1021,"12262    2018-1
Name: split, dtype: object",73691,63997,8,3,21,10,1,0
1022,"12274    2018-1
Name: split, dtype: object",77392,90046,3,11,14,18,0,1
1023,"12286    2018-1
Name: split, dtype: object",74212,84447,5,11,5,12,0,1
1024,"12298    2018-1
Name: split, dtype: object",68907,78127,3,11,3,14,0,1
1025,"12310    2018-1
Name: split, dtype: object",58248,65040,4,7,6,10,0,1
1026,"12322    2018-1
Name: split, dtype: object",66255,54045,9,4,18,8,1,0
1027,"12334    2018-1
Name: split, dtype: object",45859,59639,0,8,2,14,0,1
1028,"12346    2018-1
Name: split, dtype: object",50690,66604,1,9,7,20,0,1
1029,"12358    2018-1
Name: split, dtype: object",65445,80883,3,11,3,15,0,1
1030,"12370    2018-1
Name: split, dtype: object",60764,48806,11,0,9,5,1,0
1031,"12382    2018-1
Name: split, dtype: object",68040,52993,11,2,14,1,1,0
1032,"12394    2018-1
Name: split, dtype: object",73993,90400,2,11,3,16,0,1
1033,"12406    2018-1
Name: split, dtype: object",41453,53357,0,7,3,11,0,1
1034,"12418    2018-1
Name: split, dtype: object",47584,56414,1,7,7,14,0,1
1035,"12430    2018-1
Name: split, dtype: object",58820,66929,5,8,4,13,0,1
1036,"12442    2018-1
Name: split, dtype: object",82773,68483,11,2,13,7,1,0
1037,"12454    2018-1
Name: split, dtype: object",52598,69205,0,10,0,12,0,1
1038,"12466    2018-1P
Name: split, dtype: object",63557,48400,11,0,11,3,1,0
1039,"12478    2018-1P
Name: split, dtype: object",53612,69709,2,11,2,12,0,1
1040,"12490    2018-1P
Name: split, dtype: object",90013,88148,9,9,11,15,0,1
1041,"12502    2018-1P
Name: split, dtype: object",85376,90056,4,11,18,11,0,1
1042,"12514    2018-1P
Name: split, dtype: object",64036,48341,9,0,12,2,1,0
1043,"12526    2018-1
Name: split, dtype: object",79600,81547,9,8,10,20,0,1
1044,"12538    2018-1
Name: split, dtype: object",37098,52468,1,9,4,18,0,1
1045,"12550    2018-1
Name: split, dtype: object",53051,34863,9,1,22,5,1,0
1046,"12562    2018-1
Name: split, dtype: object",50927,59844,2,7,9,19,0,1
1047,"12574    2018-1
Name: split, dtype: object",49124,38807,9,2,10,9,1,0
1048,"12586    2018-1
Name: split, dtype: object",33820,48777,0,9,4,15,0,1
1049,"12598    2018-1
Name: split, dtype: object",49716,36672,10,2,12,3,1,0
1050,"12610    2018-1
Name: split, dtype: object",50790,41269,10,3,21,11,1,0
1051,"12622    2018-1
Name: split, dtype: object",55432,43629,10,0,10,6,1,0
1052,"12634    2018-1
Name: split, dtype: object",59603,45768,11,0,12,3,1,0
1053,"12646    2018-1
Name: split, dtype: object",56941,59092,7,7,18,17,1,0
1054,"12658    2018-1
Name: split, dtype: object",72469,65526,7,4,15,10,1,0
1055,"12670    2018-1P
Name: split, dtype: object",72706,76420,8,7,11,10,1,0
1056,"12682    2018-1P
Name: split, dtype: object",67150,53387,10,3,13,4,1,0
1057,"12694    2018-1P
Name: split, dtype: object",66834,59024,9,3,12,4,1,0
1058,"12706    2018-1P
Name: split, dtype: object",61907,78201,2,10,9,15,0,1
1059,"12718    2018-1P
Name: split, dtype: object",40298,51106,2,9,7,10,0,1
1060,"12730    2018-1P
Name: split, dtype: object",64539,50565,10,4,20,8,1,0
1061,"12742    2018-1P
Name: split, dtype: object",53907,65975,3,11,8,13,0,1
1062,"12754    2018-1P
Name: split, dtype: object",62202,48513,11,3,18,5,1,0
1063,"12766    2018-1P
Name: split, dtype: object",59344,46651,11,1,10,3,1,0
1064,"12778    2018-1P
Name: split, dtype: object",68159,71973,3,8,17,18,0,1
1065,"12790    2018-1P
Name: split, dtype: object",48655,62538,2,9,1,12,0,1
1066,"12802    2018-1P
Name: split, dtype: object",68740,52938,10,1,11,5,1,0
1067,"12814    2018-1P
Name: split, dtype: object",96921,93328,11,5,17,16,1,0
1068,"12826    2018-1
Name: split, dtype: object",61435,68511,5,10,6,6,0,1
1069,"12838    2018-1P
Name: split, dtype: object",50849,66858,3,11,7,22,0,1
1070,"12850    2018-1P
Name: split, dtype: object",60296,66402,2,11,17,15,0,1
1071,"12862    2018-1P
Name: split, dtype: object",47154,56651,3,11,2,11,0,1
1072,"12874    2018-1P
Name: split, dtype: object",49918,34541,10,1,21,3,1,0
1073,"12886    2018-1P
Name: split, dtype: object",80732,65869,9,1,15,11,1,0
1074,"12898    2018-1P
Name: split, dtype: object",84776,79423,8,6,12,7,0,1
1075,"12910    2018-1P
Name: split, dtype: object",54589,68125,2,11,5,15,0,1
1076,"12922    2018-1
Name: split, dtype: object",66181,53645,10,0,17,5,1,0
1077,"12934    2018-1
Name: split, dtype: object",54492,39188,9,1,13,2,1,0
1078,"12946    2018-1
Name: split, dtype: object",85786,88605,11,8,13,14,1,0
1079,"12958    2018-1
Name: split, dtype: object",69704,58609,10,3,13,9,1,0
1080,"12970    2018-1
Name: split, dtype: object",56220,73581,0,9,3,14,0,1
1081,"12982    2018-1
Name: split, dtype: object",53671,61918,3,8,4,12,0,1
1082,"12994    2018-1
Name: split, dtype: object",72880,64210,9,5,14,10,1,0
1083,"13006    2018-1
Name: split, dtype: object",76044,63636,10,3,18,7,1,0
1084,"13018    2018-1
Name: split, dtype: object",60419,72949,2,10,10,17,0,1
1085,"13030    2018-1
Name: split, dtype: object",61201,46480,11,1,11,1,1,0
1086,"13042    2018-1
Name: split, dtype: object",60623,46638,11,1,12,6,1,0
1087,"13054    2018-1
Name: split, dtype: object",94188,101455,6,10,6,9,0,1
1088,"13066    2018-1
Name: split, dtype: object",55969,68549,1,8,3,15,0,1
1089,"13078    2018-1P
Name: split, dtype: object",63672,56601,9,3,8,5,1,0
1090,"13090    2018-1P
Name: split, dtype: object",62933,59586,6,3,9,6,1,0
1091,"13102    2018-1P
Name: split, dtype: object",73634,63871,9,3,15,7,1,0
1092,"13114    2018-1P
Name: split, dtype: object",54071,43074,9,1,10,2,1,0
1093,"13126    2018-1P
Name: split, dtype: object",121443,117614,11,7,14,11,1,0
1094,"13138    2018-1
Name: split, dtype: object",69493,79507,3,9,3,16,0,1
1095,"13150    2018-1
Name: split, dtype: object",73766,67926,11,3,16,8,1,0
1096,"13162    2018-1
Name: split, dtype: object",54285,71814,1,10,7,18,0,1
1097,"13174    2018-1
Name: split, dtype: object",72703,80712,5,9,8,16,0,1
1098,"13186    2018-1
Name: split, dtype: object",64629,52099,10,0,10,6,1,0
1099,"13198    2018-1
Name: split, dtype: object",64340,54986,7,4,18,7,1,0
1100,"13210    2018-1
Name: split, dtype: object",82967,91050,5,10,16,20,0,1
1101,"13222    2018-1
Name: split, dtype: object",65573,48516,10,0,25,9,1,0
1102,"13234    2018-1
Name: split, dtype: object",65245,55245,9,3,13,7,1,0
1103,"13246    2018-1
Name: split, dtype: object",70843,65504,10,3,15,10,1,0
1104,"13258    2018-1
Name: split, dtype: object",74476,64209,11,3,15,9,1,0
1105,"13270    2018-1
Name: split, dtype: object",60986,48084,9,0,15,8,1,0
1106,"13282    2018-1
Name: split, dtype: object",50773,34422,9,0,28,5,1,0
1107,"13294    2018-1
Name: split, dtype: object",84034,81467,10,6,16,13,1,0
1108,"13306    2018-1
Name: split, dtype: object",55939,68250,3,10,15,24,0,1
1109,"13318    2018-1
Name: split, dtype: object",67240,64446,5,9,7,10,0,1
1110,"13330    2018-1
Name: split, dtype: object",65004,74194,5,11,13,16,0,1
1111,"13342    2018-1
Name: split, dtype: object",73806,76813,8,7,9,16,0,1
1112,"13354    2018-1
Name: split, dtype: object",61716,75107,3,9,5,15,0,1
1113,"13366    2018-1
Name: split, dtype: object",67714,79668,4,9,11,19,0,1
1114,"13378    2018-1
Name: split, dtype: object",65683,50553,11,1,17,6,1,0
1115,"13390    2018-1
Name: split, dtype: object",68384,54026,9,3,24,10,1,0
1116,"13402    2018-1
Name: split, dtype: object",79937,75583,6,9,29,20,1,0
1117,"13414    2018-1
Name: split, dtype: object",73129,62314,9,2,14,3,1,0
1118,"13426    2018-1
Name: split, dtype: object",65787,50295,10,0,20,13,1,0
1119,"13438    2018-1
Name: split, dtype: object",57335,45169,9,2,11,2,1,0
1120,"13450    2018-1
Name: split, dtype: object",71782,71776,8,7,18,17,0,1
1121,"13462    2018-1
Name: split, dtype: object",61721,48338,10,0,13,3,1,0
1122,"13474    2018-1
Name: split, dtype: object",45866,59916,0,9,4,13,0,1
1123,"13486    2018-1
Name: split, dtype: object",65733,58597,7,3,13,5,1,0
1124,"13498    2018-1
Name: split, dtype: object",52774,45086,7,1,18,6,1,0
1125,"13510    2018-1
Name: split, dtype: object",61710,50491,9,2,16,5,1,0
1126,"13522    2018-1
Name: split, dtype: object",52518,40871,9,1,18,8,1,0
1127,"13534    2018-1P
Name: split, dtype: object",63423,53019,10,3,9,3,1,0
1128,"13546    2018-1P
Name: split, dtype: object",58563,73805,2,10,7,14,0,1
1129,"13558    2018-1P
Name: split, dtype: object",70291,54469,11,1,16,4,1,0
1130,"13570    2018-1P
Name: split, dtype: object",58500,67700,1,9,9,16,0,1
1131,"13582    2018-1P
Name: split, dtype: object",60208,44472,11,0,12,6,1,0
1132,"13594    2018-1P
Name: split, dtype: object",35498,48449,1,9,2,14,0,1
1133,"13606    2018-1P
Name: split, dtype: object",71336,56973,11,1,14,4,1,0
1134,"13618    2018-1P
Name: split, dtype: object",65889,76683,3,9,8,15,0,1
1135,"13630    2018-1P
Name: split, dtype: object",77605,73223,9,4,15,11,1,0
1136,"13642    2018-1P
Name: split, dtype: object",58718,70848,4,11,9,15,0,1
1137,"13654    2018-1P
Name: split, dtype: object",64023,50883,11,3,11,7,1,0
1138,"13666    2018-1P
Name: split, dtype: object",59717,47728,9,3,14,8,1,0
1139,"13678    2018-1P
Name: split, dtype: object",28621,46456,0,9,3,18,0,1
1140,"13690    2018-1P
Name: split, dtype: object",53556,37096,10,0,13,2,1,0
1141,"13702    2018-1P
Name: split, dtype: object",46726,53513,3,7,6,9,0,1
1142,"13714    2018-1P
Name: split, dtype: object",51708,41209,11,2,12,4,1,0
1143,"13726    2018-1P
Name: split, dtype: object",42446,54351,2,9,6,16,0,1
1144,"13738    2018-1P
Name: split, dtype: object",43046,59339,1,9,3,12,0,1
1145,"13750    2018-1P
Name: split, dtype: object",55562,65961,3,10,0,11,0,1
1146,"13762    2018-1P
Name: split, dtype: object",51678,45958,8,2,7,4,1,0
1147,"13774    2018-1P
Name: split, dtype: object",54135,67314,2,11,7,15,0,1
1148,"13786    2018-1P
Name: split, dtype: object",69238,58908,9,4,12,7,1,0
1149,"13798    2018-1P
Name: split, dtype: object",64452,52640,9,1,18,8,1,0
1150,"13810    2018-1P
Name: split, dtype: object",78802,69182,10,6,16,15,1,0
1151,"13822    2018-1P
Name: split, dtype: object",61956,48594,10,2,24,8,1,0
1152,"13834    2018-1P
Name: split, dtype: object",54111,38086,10,0,14,2,1,0
1153,"13846    2018-1
Name: split, dtype: object",71698,55032,11,2,13,3,1,0
1154,"13858    2018-1
Name: split, dtype: object",45481,58502,2,9,2,23,0,1
1155,"13870    2018-1
Name: split, dtype: object",34729,45953,2,6,1,14,0,1
1156,"13882    2018-1
Name: split, dtype: object",46039,60379,1,9,6,18,0,1
1157,"13894    2018-1
Name: split, dtype: object",55537,65209,3,8,5,19,0,1
1158,"13906    2018-1
Name: split, dtype: object",51861,66836,1,11,8,17,0,1
1159,"13918    2018-1
Name: split, dtype: object",51927,38736,9,1,11,1,1,0
1160,"13930    2018-1
Name: split, dtype: object",33013,50720,0,9,3,21,0,1
1161,"13942    2018-1
Name: split, dtype: object",65443,54606,10,2,18,8,1,0
1162,"13954    2018-1
Name: split, dtype: object",55199,63801,3,10,15,23,0,1
1163,"13966    2018-1
Name: split, dtype: object",67663,74018,6,9,8,22,0,1
1164,"13978    2018-1
Name: split, dtype: object",60668,50957,10,1,17,10,1,0
1165,"13990    2018-1
Name: split, dtype: object",69744,74395,4,10,8,22,0,1
1166,"14002    2018-1
Name: split, dtype: object",59317,50553,9,2,15,9,1,0
1167,"14014    2018-1
Name: split, dtype: object",90404,80360,11,3,23,19,1,0
1168,"14026    2018-1
Name: split, dtype: object",33319,46170,0,7,4,14,0,1
1169,"14038    2018-1
Name: split, dtype: object",62764,75988,2,11,10,16,0,1
1170,"14050    2018-1
Name: split, dtype: object",69143,85523,0,11,8,16,0,1
1171,"14062    2018-1
Name: split, dtype: object",53379,35359,10,0,18,2,1,0
1172,"14074    2018-1
Name: split, dtype: object",69244,56072,9,1,10,5,1,0
1173,"14086    2018-1
Name: split, dtype: object",102278,105104,8,11,17,13,0,1
1174,"14098    2018-1
Name: split, dtype: object",87671,75739,11,3,17,11,1,0
1175,"14110    2018-1
Name: split, dtype: object",59896,45391,10,2,16,7,1,0
1176,"14122    2018-1
Name: split, dtype: object",91054,79088,11,3,21,17,1,0
1177,"14134    2018-1
Name: split, dtype: object",74072,63328,9,4,15,9,1,0
1178,"14146    2018-1
Name: split, dtype: object",67501,73309,3,11,14,17,0,1
1179,"14158    2018-1
Name: split, dtype: object",63377,50206,9,1,13,2,1,0
1180,"14170    2018-1
Name: split, dtype: object",48471,33736,7,0,14,1,1,0
1181,"14182    2018-1
Name: split, dtype: object",50573,64717,3,11,5,15,0,1
1182,"14194    2018-1
Name: split, dtype: object",83955,75365,11,3,17,14,1,0
1183,"14206    2018-1
Name: split, dtype: object",72829,58763,10,1,16,10,1,0
1184,"14218    2018-1
Name: split, dtype: object",37250,54679,1,11,4,17,0,1
1185,"14230    2018-1
Name: split, dtype: object",69343,78470,3,9,10,18,0,1
1186,"14242    2018-1
Name: split, dtype: object",82848,70834,11,2,9,3,1,0
1187,"14254    2018-1P
Name: split, dtype: object",92018,79310,11,3,8,4,1,0
1188,"14266    2018-1P
Name: split, dtype: object",61209,44564,11,0,14,3,1,0
1189,"14278    2018-1P
Name: split, dtype: object",68341,77221,5,10,8,20,0,1
1190,"14290    2018-1P
Name: split, dtype: object",67914,57368,9,2,7,6,1,0
1191,"14302    2018-1P
Name: split, dtype: object",68617,53286,11,1,20,5,1,0
1192,"14314    2018-1P
Name: split, dtype: object",68731,53872,11,0,8,4,1,0
1193,"14326    2018-1P
Name: split, dtype: object",52747,40178,10,1,26,9,1,0
1194,"14338    2018-1P
Name: split, dtype: object",69505,60800,10,3,23,16,1,0
1195,"14350    2018-1P
Name: split, dtype: object",80248,86601,7,9,15,22,0,1
1196,"14362    2018-1P
Name: split, dtype: object",59133,44794,11,1,19,8,1,0
1197,"14374    2018-1P
Name: split, dtype: object",50899,36188,11,0,14,4,1,0
1198,"14386    2018-1P
Name: split, dtype: object",69968,57099,10,5,26,9,1,0
1199,"14398    2018-1P
Name: split, dtype: object",50832,62844,2,9,6,14,0,1
1200,"14410    2018-1P
Name: split, dtype: object",73443,78308,5,10,20,28,0,1
1201,"14422    2018-1P
Name: split, dtype: object",52069,39367,10,1,15,8,1,0
1202,"14434    2018-1P
Name: split, dtype: object",44979,62028,1,9,3,14,0,1
1203,"14446    2018-1P
Name: split, dtype: object",50448,34498,10,0,20,6,1,0
1204,"14458    2018-1P
Name: split, dtype: object",30184,42297,1,5,0,14,0,1
1205,"14470    2018-1P
Name: split, dtype: object",69466,79529,5,10,12,20,0,1
1206,"14482    2018-1P
Name: split, dtype: object",70055,73580,7,9,18,27,0,1
1207,"14494    2018-1P
Name: split, dtype: object",45336,57312,2,11,5,14,0,1
1208,"14506    2018-1P
Name: split, dtype: object",65572,51301,11,1,10,0,1,0
1209,"14518    2018-1P
Name: split, dtype: object",57520,70561,3,10,8,13,0,1
1210,"14530    2018-1P
Name: split, dtype: object",61159,52482,9,3,11,7,1,0
1211,"14542    2018-1P
Name: split, dtype: object",70800,54815,10,2,18,11,1,0
1212,"14554    2018-1P
Name: split, dtype: object",63668,63536,6,6,14,10,1,0
1213,"14566    2018-1P
Name: split, dtype: object",49634,60982,1,11,7,15,0,1
1214,"14578    2018-1P
Name: split, dtype: object",65648,69248,7,10,16,17,0,1
1215,"14590    2018-1P
Name: split, dtype: object",42419,50835,2,9,4,10,0,1
1216,"14602    2018-1P
Name: split, dtype: object",56164,45994,11,1,11,3,1,0
1217,"14614    2018-1P
Name: split, dtype: object",56846,70669,2,11,12,21,0,1
1218,"14626    2018-1P
Name: split, dtype: object",48621,37422,8,2,14,5,1,0
1219,"14638    2018-1P
Name: split, dtype: object",58852,50170,9,2,15,6,1,0
1220,"14650    2018-1P
Name: split, dtype: object",76231,66087,10,5,14,9,1,0
1221,"14662    2018-1P
Name: split, dtype: object",59334,46986,9,0,14,6,1,0
1222,"14674    2018-1P
Name: split, dtype: object",68833,49582,11,1,19,4,1,0
1223,"14686    2018-1P
Name: split, dtype: object",57104,68788,4,11,7,12,0,1
1224,"14698    2018-1P
Name: split, dtype: object",100922,93922,8,6,13,9,0,1
1225,"14710    2018-1P
Name: split, dtype: object",58764,71946,2,11,4,10,0,1
1226,"14722    2018-1P
Name: split, dtype: object",37200,51434,0,9,2,15,0,1
1227,"14734    2018-1P
Name: split, dtype: object",105173,99884,9,7,16,12,1,0
1228,"14746    2018-1P
Name: split, dtype: object",50201,39017,8,2,10,2,1,0
1229,"14758    2018-1P
Name: split, dtype: object",46636,60203,0,9,4,13,0,1
1230,"14770    2018-1P
Name: split, dtype: object",38414,55559,1,9,2,20,0,1
1231,"14782    2018-1P
Name: split, dtype: object",61969,51951,9,3,14,2,1,0
1232,"14794    2018-1P
Name: split, dtype: object",69304,54001,11,2,16,2,1,0
1233,"14806    2018-1P
Name: split, dtype: object",79166,73418,8,4,16,17,1,0
1234,"14818    2018-1P
Name: split, dtype: object",65700,59090,7,2,12,9,1,0
1235,"14830    2018-1P
Name: split, dtype: object",38675,54343,1,10,5,20,0,1
1236,"14842    2018-1P
Name: split, dtype: object",71349,76551,6,8,15,24,0,1
1237,"14854    2018-1P
Name: split, dtype: object",50215,39385,8,3,13,3,1,0
