,split,goldblue,goldred,bTowers,rTowers,bKills,rKills,bResult,rResult
81,"982    2018-1
Name: split, dtype: object",64694,57960,7,3,8,2,1,0
82,"994    2018-1
Name: split, dtype: object",101911,108603,6,10,14,10,0,1
83,"1006    2018-1
Name: split, dtype: object",36339,47451,2,9,3,17,0,1
84,"1018    2018-1
Name: split, dtype: object",64203,48986,9,2,18,2,1,0
85,"1030    2018-1
Name: split, dtype: object",79824,62740,11,2,25,7,1,0
86,"1042    2018-1
Name: split, dtype: object",74633,69890,10,4,20,11,1,0
87,"1054    2018-1
Name: split, dtype: object",81200,78160,9,6,19,15,1,0
88,"1066    2018-1
Name: split, dtype: object",79259,70723,11,3,21,7,1,0
89,"1078    2018-1
Name: split, dtype: object",56163,40845,9,0,12,4,1,0
90,"1090    2018-1
Name: split, dtype: object",59973,45438,10,1,13,3,1,0
91,"1102    2018-1
Name: split, dtype: object",61096,74582,1,9,11,21,0,1
92,"1114    2018-1
Name: split, dtype: object",64078,49842,11,0,7,0,1,0
93,"1126    2018-1
Name: split, dtype: object",45211,57664,2,10,6,14,0,1
94,"1138    2018-1
Name: split, dtype: object",56103,66512,2,9,6,15,0,1
95,"1150    2018-1
Name: split, dtype: object",46977,61255,0,8,2,14,0,1
96,"1162    2018-1
Name: split, dtype: object",65528,76499,3,10,5,14,0,1
97,"1174    2018-1
Name: split, dtype: object",38415,55332,1,9,4,20,0,1
98,"1186    2018-1
Name: split, dtype: object",62000,44296,10,0,10,7,1,0
99,"1198    2018-1
Name: split, dtype: object",62156,46000,10,1,11,1,1,0
100,"1210    2018-1
Name: split, dtype: object",32785,46554,0,8,3,17,0,1
101,"1222    2018-1
Name: split, dtype: object",58983,43853,11,1,15,4,1,0
102,"1234    2018-1
Name: split, dtype: object",49331,64962,1,11,2,12,0,1
103,"1246    2018-1
Name: split, dtype: object",61655,72939,3,9,8,20,0,1
104,"1258    2018-1
Name: split, dtype: object",77154,80792,6,10,15,21,0,1
105,"1270    2018-1
Name: split, dtype: object",55602,68302,3,9,3,15,0,1
106,"1282    2018-1
Name: split, dtype: object",59475,68741,5,10,6,21,0,1
107,"1294    2018-1
Name: split, dtype: object",65867,49636,11,0,14,5,1,0
108,"1306    2018-1
Name: split, dtype: object",68356,83612,1,11,6,13,0,1
109,"1318    2018-1
Name: split, dtype: object",70739,57226,11,0,9,1,1,0
110,"1330    2018-1
Name: split, dtype: object",68858,53990,11,3,15,3,1,0
111,"1342    2018-1
Name: split, dtype: object",78352,80966,7,6,12,10,1,0
112,"1354    2018-1
Name: split, dtype: object",76441,60918,11,1,14,6,1,0
113,"1366    2018-1
Name: split, dtype: object",87899,100023,7,10,12,11,1,0
114,"1378    2018-1
Name: split, dtype: object",101767,88456,11,4,16,7,1,0
115,"1390    2018-1
Name: split, dtype: object",86931,100802,1,11,1,3,0,1
116,"1402    2018-1
Name: split, dtype: object",147262,138324,11,7,12,15,0,1
117,"1414    2018-1
Name: split, dtype: object",61450,53530,11,4,6,2,1,0
118,"1426    2018-1
Name: split, dtype: object",75251,65054,10,3,11,5,1,0
119,"1438    2018-1
Name: split, dtype: object",92045,100792,4,9,18,19,0,1
120,"1450    2018-1
Name: split, dtype: object",41285,52160,2,9,7,16,0,1
121,"1462    2018-1
Name: split, dtype: object",67637,58577,9,3,16,12,1,0
122,"1474    2018-1
Name: split, dtype: object",49159,60033,2,9,1,15,0,1
123,"1486    2018-1
Name: split, dtype: object",72078,66726,9,5,12,5,1,0
124,"1498    2018-1
Name: split, dtype: object",58797,70636,4,10,5,12,0,1
125,"1510    2018-1
Name: split, dtype: object",71992,57510,9,2,17,11,1,0
126,"1522    2018-1
Name: split, dtype: object",56246,42363,8,1,15,4,1,0
127,"1534    2018-1
Name: split, dtype: object",37602,55303,1,11,1,19,0,1
128,"1546    2018-1
Name: split, dtype: object",61333,46740,11,1,19,5,1,0
129,"1558    2018-1
Name: split, dtype: object",69400,56342,10,1,18,5,1,0
130,"1570    2018-1
Name: split, dtype: object",71442,61294,11,3,16,10,1,0
131,"1582    2018-1
Name: split, dtype: object",77222,66800,9,2,12,2,1,0
132,"1594    2018-1
Name: split, dtype: object",70807,61850,10,4,11,6,1,0
133,"1606    2018-1
Name: split, dtype: object",95744,103446,5,9,12,18,0,1
134,"1618    2018-1
Name: split, dtype: object",100916,89017,11,6,19,12,1,0
135,"1630    2018-1
Name: split, dtype: object",51814,65694,1,11,4,19,0,1
136,"1642    2018-1
Name: split, dtype: object",76324,70190,10,3,16,7,1,0
137,"1654    2018-1
Name: split, dtype: object",75095,92609,4,11,7,13,0,1
138,"1666    2018-1
Name: split, dtype: object",63091,52327,8,2,7,0,1,0
139,"1678    2018-1
Name: split, dtype: object",75881,81458,5,10,5,12,0,1
140,"1690    2018-1
Name: split, dtype: object",60162,71241,2,10,4,10,0,1
141,"1702    2018-1
Name: split, dtype: object",103338,97273,8,5,9,9,1,0
142,"1714    2018-1
Name: split, dtype: object",45501,63132,0,10,3,8,0,1
143,"1726    2018-1
Name: split, dtype: object",67268,53767,11,0,9,4,1,0
144,"1738    2018-1
Name: split, dtype: object",84798,68419,11,1,12,5,1,0
145,"1750    2018-1
Name: split, dtype: object",75922,60997,11,1,12,4,1,0
146,"1762    2018-1
Name: split, dtype: object",72768,86467,5,9,14,24,0,1
147,"1774    2018-1
Name: split, dtype: object",71967,58927,10,2,12,5,1,0
148,"1786    2018-1
Name: split, dtype: object",57794,44028,11,0,14,4,1,0
149,"1798    2018-1
Name: split, dtype: object",51794,38070,8,0,13,2,1,0
150,"1810    2018-1
Name: split, dtype: object",40536,51442,4,9,3,15,0,1
151,"1822    2018-1
Name: split, dtype: object",53089,67667,1,10,2,16,0,1
152,"1834    2018-1
Name: split, dtype: object",91715,87506,9,7,13,12,1,0
153,"1846    2018-1
Name: split, dtype: object",58011,74882,1,11,5,11,0,1
154,"1858    2018-1
Name: split, dtype: object",102331,98998,9,5,10,6,1,0
155,"1870    2018-1
Name: split, dtype: object",57612,51851,8,3,6,3,1,0
