,leage,game,view,length,real_time,duration,chat
182001,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:43,26530.002999999997,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlLove ratirlLove
182002,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.308999999997,free king kong!!!
182003,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.327999999998,GO HONG KONG ATTITUDE Pog GO HONG KONG ATTITUDE Pog
182004,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.54,sneakyC9
182005,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.607999999997,FREE HONG KONG
182006,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.675,"CLOWN 9 , lets go. ceezBooty"
182007,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.676,Free Hong Kong
182008,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.834,FREE HONG KONG
182009,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.872000000003,FREE HONG KONG
182010,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26530.889,Free Hong Kong
182011,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26531.099,tfueCLOWN tfueCLOWN tfueCLOWN tfueCLOWN tfueCLOWN
182012,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26531.171000000002,CLOWN 9 vs FREE HONG KONG BegWan
182013,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:44,26531.266,sneakyC9 sneakyYeehaw sneakyC9
182014,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26531.491,FREE HONG KONG
182015,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26531.522,FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail
182016,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26531.657000000003,c9 LULW
182017,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26531.667999999998,Kong Hong Free
182018,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26532.026,@linkyv3 <3 HeyGuys
182019,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26532.051,FREE HONG KONG
182020,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:45,26532.285,FREE HONG KONG FROM WINNIE THE POOH!!!
182021,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:46,26532.308999999997,WINNIE THE POOH
182022,Groups Day 2 | 2019 World Championship,League of Legends,116196,30878,2019-10-14 02:13:46,26532.386000000002,FREE HONG KONG
