,leage,game,view,length,real_time,duration,chat
142125,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:10,24248.18,WORLDS SONG /watch?v=TSsGhc-8dho
142126,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:11,24248.505,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142127,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:11,24248.827,"beating a team from OCE , then thinking that they're the best welcome to NA KEKW KEKW"
142128,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:12,24249.327999999998,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142129,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:12,24249.397999999997,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS .
142130,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:12,24249.427000000003,uhhh
142131,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:12,24249.472999999998,KomodoHype SabaPing
142132,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:12,24249.801,splyce gonna win worlds copy that
142133,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:13,24251.165,SPLYCE EZ
142134,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:14,24251.569,toxic chat
142135,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:14,24251.717999999997,GO ISURUSSSSSSS
142136,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:15,24253.119,isurus completely out scales lol what
142137,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:15,24253.232999999997,ratirlMangoS ratirlMangoS ratirlMangoS
142138,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:16,24253.877,ODDIE OpieOP
142139,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:16,24254.097999999998,LE BLONK
142140,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24254.338,SabaPing SabaPing SabaPing SabaPing SabaPing SabaPing SabaPing SabaPing
142141,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24254.352000000003,J OMEGALUL KE
142142,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24254.591,SPLYCE Pog
142143,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24254.976000000002,Worlds song? When?
142144,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24255.077,leblonk
142145,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24255.27,CHAMP SELECT POWERED BY ALIENWARE
142146,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24255.283,by a what??
142147,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:17,24255.299,same champions ResidentSleeper
142148,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:18,24255.752999999997,no KEKW at WORLDS PepeHands
142149,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:18,24255.877999999997,omod: EleGiggle if EU is so great EleGiggle why are you EleGiggle speaking american EleGiggle instead of european EleGiggle if EU is so great EleGiggle why are you EleGiggle speaking american EleGiggle instead of european pepega
142150,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:18,24256.186,chat mode: slow brain Kappa
142151,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:19,24256.886000000002,SabaPing COPY SabaPing THIS SabaPing TO SabaPing HELP SabaPing ISURUS SabaPing
142152,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:19,24257.245,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142153,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:20,24257.582000000002,Daledale#GOISG
142154,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:20,24257.604,AYAYAYA
142155,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:20,24257.82,when does tierwulf play ?
142156,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:21,24258.334,itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161 itssli0161
142157,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:21,24258.338,Leblonc
142158,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:21,24259.0,Isirus!!
142159,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:22,24259.717,TTours
142160,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.32,GANEMOS EN LATE PepeLaugh
142161,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.362,SabaPing SabaPing SabaPing SabaPing SabaPing SabaPing
142162,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.415,humanoid leblanc that is gg
142163,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.692000000003,fernan17LOVE fernan17LOVE go Isurus
142164,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.692000000003,lsxyzOkay lsxyzOkay lsxyzOkay lsxyzOkay
142165,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.961,go isurus CAGAJOO
142166,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24260.981,LAN LEE SIN
142167,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:23,24261.214,SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing Clap SabaPing
142168,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:24,24261.34,world song ? 4head
142169,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:24,24261.435,@kiwi_smuggler have u heared about UK ?
142170,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:24,24261.746,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142171,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:24,24261.855,SabaPing COPY SabaPing THIS SabaPing TO SabaPing HELP SabaPing ISURUS SabaPing
142172,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:24,24262.06,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
142173,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:25,24262.982999999997,MercyWing1 SabaPing MercyWing2
142174,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:25,24263.191000000003,LEBLENC
142175,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:26,24263.332000000002,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142176,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:26,24264.009,moon2PREGARIO moon2PREGIGI moon2PREGARIO moon2PREGIGI moon2PREGARIO moon2PREGIGI
142177,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:26,24264.043999999998,EleGiggle EU SPEAKS AMERICAN BECAUSE NA ONLY SPEAKS ONE LANGUAGE EleGiggle EleGiggle EU SPEAKS AMERICAN BECAUSE NA ONLY SPEAKS ONE LANGUAGE EleGiggle
142178,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:27,24264.631,YO SOY DE ISURUS DESDE LA CUUUNAA
142179,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:27,24264.757,LAS XD
142180,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:27,24265.162999999997,AYAYA DALE DELE DALI DOLLY
142181,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:28,24265.539,ratirlMangoS ratirlMangoS ratirlMangoS
142182,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:28,24266.062,HAIR LULW
142183,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:29,24266.894,ResidentSleeper Liss ResidentSleeper ResidentSleeper Liss ResidentSleeper ResidentSleeper Liss ResidentSleeper ResidentSleeper Liss ResidentSleeper ResidentSleeper Liss ResidentSleeper
142184,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:30,24267.445,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
142185,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:30,24267.78,SPLYCE EZ
142186,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:30,24267.965,SabaPing SabaPing SabaPing SabaPing SabaPing
142187,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:30,24268.263,KEKW
142188,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:31,24268.339,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
142189,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:31,24268.467,SPY why not tierwulf :(
142190,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:31,24269.167,LEBLUNK
142191,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:32,24269.32,Isidrus!!!
142192,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:32,24269.447999999997,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142193,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:32,24269.571,EleGiggle if EU is so great EleGiggle why are you EleGiggle speaking american EleGiggle instead of european EleGiggle if EU is so great EleGiggle why are you EleGiggle speaking american EleGiggle instead of european EleGiggle
142194,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:32,24269.77,slawFeels slawFeels slawFeels slawFeels slawFeels slawFeels slawFeels slawFeels slawFeels slawFeels
142195,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:33,24270.367000000002,wow
142196,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:33,24270.466,I'D LIKE TO TELL YOU MY FINGER IS TRASHHHHHHHHHHHHHHH
142197,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:33,24271.127,tier KEKW
142198,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:33,24271.167,ISURUS FAITOOOOOOOOOO LETS GOOOOOOOO
142199,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:34,24271.379,LeBlonk
142200,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:34,24271.575,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head 1
142201,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:34,24271.843999999997,NA education not knowing english is EU Pepega
142202,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:35,24273.158,Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head Where is worlds song? 4Head
142203,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:37,24274.432,CSACSI CARRY
142204,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:37,24274.895,VAMOOOOOOS ISURUS !!!!!!!!!!!!
142205,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-03 01:32:37,24275.007999999998,BABANIZ TURKEY
