,leage,game,view,length,real_time,duration,chat
162988,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:50,23446.185,???
162989,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23446.442000000003,kiss me here greekB4 and here greekB3 chat greekJoy
162990,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23446.479,go G2
162991,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23446.744,Jebaited
162992,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23446.795,G2 trolling?
162993,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23446.801,4head
162994,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23447.196,POG CHAMP DWG EU SO BAD EU TRASH REGION BYE BYE EU
162995,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:51,23447.242000000002,CRAPS INC
162996,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.327,is the stream acting up for anyone else?
162997,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.375,"NICE DELETE BRO, LETS GO G2"
162998,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.381,5Head
162999,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.512000000002,@futureb0und lul
163000,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.667,G2 BYE
163001,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.763,bot lane MrDestructoid bot lane MrDestructoid bot lane MrDestructoid bot lane MrDestructoid bot lane MrDestructoid bot lane MrDestructoid bot lane MrDestructoid
163002,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.817000000003,monkaOMEGOA
163003,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23447.938,G 2 - 0
163004,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23448.039,WTF IS THIS
163005,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23448.039,3-0 EZ Clap
163006,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23448.041,Pog
163007,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:52,23448.109,NO XAYAH LUL NO WIN LUL
163008,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:53,23448.308999999997,it's over
163009,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:53,23448.349,AYAYA CUTIES
163010,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:53,23448.461,G2 SANFBAGGING Pog
163011,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:53,23448.846,UMA JAN monkaW
163012,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:53,23448.979,ALISTAR MID ???
163013,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.341,TF is this? NotLikeThis
163014,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.484,go G2 go
163015,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.517999999996,MIKYxD
163016,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.523999999998,:saxophong: Jebaited
163017,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.842,ORI BOT monkaW
163018,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23449.85,let's gooooo g2
163019,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23450.032000000003,????jebaited
163020,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23450.06,G2 DRAFTS Pog
163021,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23450.101000000002,dodge LULW
163022,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23450.118,!loot
163023,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:54,23450.224,NO EU NO EU
163024,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:55,23450.33,cmonBruh KENNEN NAME cmonBruh
163025,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:55,23450.34,poggers
163026,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:55,23450.349,MIKI-X. I THOUGHT IT'S PRONOUNCED MIKICKS.
163027,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:55,23450.729,SHOEMAKER
163028,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:55,23451.08,BrainSlug COPY BrainSlug THIS BrainSlug GOO BrainSlug TO BrainSlug HELP BrainSlug G2 BrainSlug BrainSlug COPY BrainSlug THIS BrainSlug GOO BrainSlug TO BrainSlug HELP BrainSlug G2 BrainSlug .
163029,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:56,23451.417,Flow jests is ready LUL
163030,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:56,23451.442000000003,5Head EU
163031,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:56,23452.054,wtf NotLikeThis
163032,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:56,23452.178,when does NA plays?
163033,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.371,LULW
163034,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.407000000003,JUST DIVE ALISTAR 4Head
163035,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.507999999998,EUW EUW GO
163036,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.536,um lol what
163037,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.601000000002,Pog
163038,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.7,COPY BrainSlug THIS BrainSlug GOO BrainSlug TO BrainSlug HELP BrainSlug G2 BrainSlug COPY BrainSlug THIS BrainSlug GOO BrainSlug TO BrainSlug HELP BrainSlug G2 BrainSlug
163039,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-28 00:53:57,23452.857000000004,LUL SoonerLater MaxLOL SwiftRage SwiftRage SwiftRage
