,leage,game,view,length,real_time,duration,chat
100028,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:52,16610.167,ISURUS PAPA VAMOS ISURUS VAMO ISURU SURU URURU U
100029,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:52,16610.176,SabaPing SabaPing
100030,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:53,16610.91,his?
100031,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:53,16611.08,weebs
100032,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:54,16611.647,♿ ISURUS ♿ GAMING ♿ COMING ♿ THROUGH ♿
100033,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:54,16612.072,heeeeeeeeey
100034,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:54,16612.11,KEIRUUU AYAYA
100035,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:54,16612.223,DALEEEEEEEEEEEEEEEEEEEEEEEE
100036,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16612.483,rooAYAYA
100037,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16612.605,ruyuAYAYA2
100038,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16612.673,dale isurus
100039,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16612.73,L
100040,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16613.03,imGlitch TheIlluminati TheIlluminati TheIlluminati BigPhish BigPhish BigPhish BigPhish
100041,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:55,16613.054,ISIRUS CHUPA PICA
100042,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:56,16613.949,seiya
100043,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:56,16614.24,BU♿️♿️AX
100044,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:57,16614.942,AYAYA
100045,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:57,16615.183,AYYAYA
100046,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:57,16615.243000000002,BUGGAX PepeLaugh
100047,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:57,16615.287,SabaPing SabaPing
100048,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.401,Tonr
100049,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.406000000003,AYAYA
100050,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.433999999997,VAMOS JAPON
100051,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.51,VAMO ISSSSSSG CARAJOOO
100052,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.543,MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO 📞 AYAYA
100053,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16615.835,ISURUS KEKW GAMING KEKW LATAM KEKW REGION KEKW
100054,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:58,16616.022,OOG START OOG
100055,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:59,16616.525,BOCA SHO TE AMO
100056,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:59,16616.881999999998,OCE casters Pog
100057,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:24:59,16617.188000000002,AYAYA vs SabaPing
100058,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:00,16617.923,Sers
100059,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:00,16618.22,WHAT PATCH IS HERE??
100060,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16618.427,LATE GAME TEAMS ResidentSleeper ResidentSleeper PogChamp PogChamp
100061,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16618.436999999998,E K K OMEGALUL
100062,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16618.449,PAPA PepeHands
100063,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16618.663,BabyRage
100064,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16618.881,PAPA PepeHands
100065,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16619.095,pEPEhANDS
100066,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:01,16619.189,EVI SHOT CALLING PogChamp
100067,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.427,AYAYA vs SEIYA
100068,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.512,PAPA pog
100069,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.706000000002,hashAya hashAya hashAya hashAya
100070,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.915,B U ♿ ♿ A X LUL
100071,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.981,ISURUS Pog
100072,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 23:25:02,16619.982,BibleThump papa
