,leage,game,view,length,real_time,duration,chat
137582,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:33,17550.056,Faker????
137583,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:33,17550.068,CUT OFF LULW
137584,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:33,17550.098,PogU
137585,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.33,FAKER IS GREATER
137586,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.422,h2k nuclear
137587,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.46,FAKER MADD
137588,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.493000000002,7 korean in 10
137589,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.519,VEIGAR NUCLEAR NUKE Pog
137590,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.529,showmaker is the best iron chat
137591,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.541,EU PROD LUL
137592,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.558,cmonBruh
137593,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.578999999998,TL already outclassed in draft
137594,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.593999999997,TL gonna get stomped
137595,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.727,VEIGAR Pog??????????????????
137596,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17550.756999999998,lmao best mid laner lck!?!? who u jokin casters
137597,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17551.05,rip TL.
137598,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:34,17551.138,mattaFEEDER mattaFEEDER mattaFEEDER mattaFEEDER mattaFEEDER
137599,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.492,EU AUDIO
137600,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.575,FAKER?
137601,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.616,FAKER > SHOEMAKER BloodTrail
137602,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.624,faker???
137603,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.69,Faker Jebaited
137604,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.703999999998,SHOEMAKER LUL
137605,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.773999999998,BEST MID GOT 0-3 BTW LUL
137606,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.818,BRTT > DOUBLELIFT
137607,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17551.85,??????????????????????
137608,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17552.042,pull the plug jensen monkaW
137609,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17552.047,FAKER?
137610,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17552.104,ARGUABLU
137611,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:35,17552.115,showmaker is trash lol
137612,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:36,17552.533,BYE TL PepeHands
137613,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:36,17552.555,LUL
137614,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 00:35:36,17552.636000000002,FAKER WASHED
