,leage,game,view,length,real_time,duration,chat
101104,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:22,21348.956000000002,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101105,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:23,21349.751,AYAYA AYAYA
101106,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:23,21350.14,PepeHands same
101107,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:23,21350.214,LUL GOODBYE NA LUL
101108,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:23,21350.278,MEDIC WeirdChamp
101109,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:24,21350.83,??????????????????
101110,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:24,21350.854,NA THIS AYAYA EU THAT AYAYA ALL I WANT TO SEE AYAYA IS A CUTE CHAT AYAYA AYAYA
101111,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:24,21351.201,LULW
101112,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:25,21351.345,Where world song btw did it release yet?
101113,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:25,21351.798,StandWithHongKong TakeNRG
101114,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:25,21351.841,DO YOU THINK CHOKE GAMING HAS MORE ASIANS THAN NATIVES? JUST WAIT UNTIL YOU SEE LIQUID EleGiggle
101115,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:25,21352.203999999998,selphyAYAYA selphyAYAYA selphyAYAYA selphyAYAYA selphyAYAYA
101116,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:26,21352.543999999998,AVWAGE
101117,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:26,21352.842999999997,SICK HaHAA
101118,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:26,21353.014,NA TEAM HAS 3 ASIANS LULW
101119,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:26,21353.244,Tanner Time
101120,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21353.327,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101121,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21353.561,weebs hashBk naroEh
101122,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21353.871,"Machoape: Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don’t believe me, I will copy and paste this on my other accounts right now."
101123,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21354.055,LULW
101124,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21354.057,"FeelsBadMa,"
101125,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21354.165,EU FOOTBALL = BabyRage BabyRage ⚽ BabyRage BabyRage
101126,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:27,21354.203999999998,AVERAGE FeelsBadMan
101127,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:28,21354.427000000003,NA SURE DO BRAG A LOT FOR A REGION WITH SO MANY EU IMPORTS LUL
101128,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:28,21354.46,DIG GivePLZ TAKE GivePLZ MY GivePLZ ENERGY GivePLZ DIG GivePLZ TAKE GivePLZ MY GivePLZ ENERGY GivePLZ DIG GivePLZ TAKE GivePLZ MY GivePLZ ENERGY GivePLZ
101129,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:28,21354.606,EBOLA CHAMPION Pog
101130,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:28,21354.984,MEDIC WeirdChamp
101131,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:29,21355.653,BETTER KOREAN WINS
101132,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:29,21355.865,FLAME MEDIC LULW
101133,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.339,WeirdChamp WeirdChamp WeirdChamp
101134,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.497000000003,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don’t believe me, I will copy and paste this on my other accounts right now. . ."
101135,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.535,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don’t believe me, I will copy and paste this on my other accounts right now."
101136,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.592999999997,NA >>> EU CLOWNS LUL LUL
101137,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.777000000002,:)
101138,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21356.799,omfg
101139,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:30,21357.047000000002,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don’t believe me, I will copy and paste this on my other accounts right now."
101140,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:31,21357.597999999998,terrible ergonomics LULW
101141,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:32,21358.353,poo poo pee pee
101142,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:32,21358.611,CoolStoryBob CoolStoryBob CoolStoryBob
101143,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:32,21358.697999999997,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101144,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:32,21358.929,AYAYA
101145,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:32,21358.994,📞 AYAYA MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO AYAYA
101146,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:33,21360.144,LEG DOWN 😡
101147,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:33,21360.148999999998,WeirdChamp
101148,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:33,21360.224,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101149,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:34,21360.507,POSTURE LULW
101150,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:34,21361.138,Kapp
101151,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:34,21361.206000000002,Jebaited Jebaited
101152,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:35,21361.821,LULW
101153,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:35,21361.84,pyke abusers DansGame
