,leage,game,view,length,real_time,duration,chat
81892,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:17,14160.095,SWKRD CARRY LUL
81893,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:17,14160.178,Tutorial LULW
81894,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:17,14160.292,chovy not playing a carry is gg go next imo :/
81895,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14160.537,3-0ggggg the shy vald
81896,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14160.558,TOP DIFF
81897,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14160.569,TPFufun TPFufun TPFufun TPFufun
81898,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14160.743,XAYAH AND KAISA PogChamp
81899,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14160.933,forsenSleeper this top forsenSleeper this top forsenSleeper this top forsenSleeper this top forsenSleeper this top
81900,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14161.082,KAISA vs XAYAH WOW Pog
81901,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14161.152,TARZAN= BlessRNG save me from this team BlessRNG
81902,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14161.248,Chovy on Tanks WTF Griffin
81903,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:18,14161.29,cvmax died for this
81904,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.316,Sion Mid 5Head
81905,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.364,lets goo
81906,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.441,3-0 EleGiggle
81907,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.531,why thoooo ?
81908,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.715,3-0
81909,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.722,CHOVY SCARED LULW
81910,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.803,SW OMEGALUL RD
81911,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14161.808,THESHY KAYLE monkaW SWORD KAYLE OMEGALUL
81912,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14162.093,HeyGuys HeyGuys
81913,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:19,14162.135,tfbNEXT tfbNEXT tfbNEXT tfbNEXT tfbNEXT tfbNEXT
81914,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:20,14162.544,GG
81915,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:20,14162.595,THESHY VLAD Poggers
81916,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:20,14162.622,Theshy vlad monkaW
81917,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.413999999999,KAYLE !!!!!!!!!!!!~!!!
81918,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.653,\FML
81919,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.671,Top gg
81920,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.787,3-0 SWORD IS TRASH LUL
81921,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.835,Gg ig won
81922,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14163.916000000001,theshy vlad Pog
81923,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14164.051000000001,Guys TSM made it through :D
81924,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:21,14164.221000000001,2 - 1
81925,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:22,14164.438999999998,THESHY WILL 1V9
81926,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:22,14164.51,LOST ALL 3 DRAFT
81927,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:22,14164.739,SW OMEGALUL RD
81928,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:22,14165.225,morgana vs kayle Pog
81929,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:23,14165.611,manda ovo quero ver ovo no bagulho
81930,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:23,14165.88,PLAYING BO5S WITHOUT A COACH PepeLaugh
81931,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 21:18:23,14165.998,ap sion? LUL
