,leage,game,view,length,real_time,duration,chat
89017,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:48,22367.263,PunOko That's PunOko the PunOko wrong PunOko hole PunOko onii-chan! PunOko
89018,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:48,22367.295,FREE HK
89019,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:49,22367.494,NaM
89020,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:49,22367.862999999998,RPGAyaya
89021,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:49,22368.002,xqcp
89022,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:49,22368.147999999997,NaM FBBlock AYAYA WEEBS GTFO WEEBS NaM don't like WEEBS NaM FBBlock AYAYA WEEBS GTFO
89023,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:50,22368.935,AYAYA LUX AYAYA
89024,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:50,22369.286,777777777777777777777777777777
89025,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22369.591,LUX IS HERE TO KS Kappa
89026,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22369.791,AYAYA AYAYA AYAYA AYAYA AYAYA
89027,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22370.087000000003,ENDER WeirdChamp
89028,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22370.088,AYAYAYA
89029,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22370.162,FREE XIANG GANG
89030,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:51,22370.213,Lux gonna get clapped LUL
89031,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:52,22370.387000000002,NaM NaM NaM NaM NaM NaM
89032,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:52,22370.481,China is democratic country JeBaited
89033,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:52,22370.891,FREE HONG KONG
89034,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:53,22371.37,"5 Demands, not 1 less!!!"
89035,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:53,22371.495,POWERFUL GIRLS
89036,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:53,22371.707000000002,AYAYA WAIFU POWER AYAYA
89037,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:53,22371.796000000002,LIBERATE HONG KONG
89038,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:54,22372.656000000003,EU WHY SO QUIET? LULW
89039,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:54,22372.659,WOMEN TEAM AYAYA WOMEN TEAM AYAYA WOMEN TEAM AYAYA WOMEN TEAM AYAYA
89040,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:55,22373.44,TIGHTILY Pepega
89041,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:55,22373.597,GAAAAAAAAY
89042,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:55,22373.662,xqcP xqcP xqcP xqcP xqcP xqcP xqcP
89043,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:55,22374.132,AYAYA CUTIES TEAM AYAYA
89044,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:55,22374.264,VELUX LUL
89045,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:56,22374.361,"hey HK trash people, you should loud Free Your mother XD"
89046,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:56,22374.916,FREE HONG KONG
89047,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:56,22375.056,posture xd
89048,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:56,22375.146,OhMyDog
89049,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:57,22375.435,WHY VIETNAMESE LOOK LIKE CHINESE ?? BECAUSE THEY ARE CHINESE'S DESCENDANTS LUL
89050,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:57,22375.487999999998,\:D /
89051,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:57,22376.166,China here to kill Hong Kong
89052,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:58,22376.638,FREE HONG KONG
89053,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:00:59,22377.42,The two teams is chineses ?
89054,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:01:00,22378.311,AYAYA
89055,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:01:00,22378.322,AYAYA
89056,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:01:00,22378.55,NO YULI DansGame
89057,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:01:00,22378.837000000003,5 demands not one less
