,leage,game,view,length,real_time,duration,chat
194037,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25461.562,FREE HONG KONG
194038,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25461.641,TTours
194039,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25462.089,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194040,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25462.165,pink keyboard POG
194041,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25462.212000000003,FREE HONG KONG BloodTrail FREE TAIWAN BloodTrail FREE TIBET BloodTrail .
194042,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:25,25462.286,NaM
194043,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25462.392000000003,Free Hong Kong PepeLaugh The Tiananmen Square protests of 1989 PepeLaugh Human Rights PepeLaugh Democratization PepeLaugh Taiwan PepeLaugh Free Tibet PepeLaugh Dalai Lama PepeLaugh The Xinjiang Uyghur Autonomous Region PepeLaugh Winnie the Pooh
194044,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25462.486,NaM
194045,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25462.787,Vietnam vo dich
194046,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25462.915,WutFace
194047,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25463.065,KI zrushAyaya
194048,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:26,25463.144,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194049,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25463.373,I’m glad Blitzchung got banned! Keep politics OUT of Hearthstone! I love Tencent and Mao Zedong!
194050,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25463.498,TOO DANGEROUS
194051,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25463.69,ki ayaya
194052,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25463.822,NaM
194053,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25464.127999999997,NaM
194054,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:27,25464.238999999998,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194055,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.635,TIANMAN 1989 BloodTrail WINNIE THE POOH BloodTrail TIANMAN 1989 BloodTrail WINNIE THE POOH BloodTrail TIANMAN 1989 BloodTrail WINNIE THE POOH BloodTrail
194056,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.648999999998,BOYCOTT BLIZZARD....FREE HONG KONG
194057,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.705,LUL
194058,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.707000000002,ThankEgg L E V I ThankEgg ThankEgg L E V I ThankEgg
194059,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.748,@VADIKUS007 forsen1
194060,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.886000000002,NotLikeThis NotLikeThis NotLikeThis NotLikeThis
194061,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:28,25464.946,KI AYAYA
194062,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:29,25465.376,pepeD
194063,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:29,25465.382,lirikHS lets go splyce
194064,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:29,25465.745,FREE HONG KONG
194065,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:29,25465.922000000002,@vadikus007 forsen1
194066,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:29,25466.017000000003,LEVI Pog
194067,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:30,25466.605,HI EU3 LLIL
194068,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:30,25466.699,GAM full damage
194069,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:30,25466.78,levi kha zix
194070,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:30,25467.058999999997,Pog
194071,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:30,25467.095,NaM NaM NaM NaM NaM
194072,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25467.384,@VADIKUS007 NaM
194073,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25467.416,Kiaya
194074,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25467.525,PokCroagunk
194075,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25467.531000000003,NotATK NotATK NotATK
194076,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25467.804,KappaPride
194077,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25468.013,HeyGuys BYE EU HeyGuys BYE EU HeyGuys BYE EU HeyGuys BYE EU HeyGuys BYE EU HeyGuys BYE EU
194078,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25468.035,SMOrc
194079,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:31,25468.089,tyler1B1 tyler1Hey
194080,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25468.328999999998,monkaW
194081,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25468.517999999996,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194082,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25468.536,Winnie Xi Pooh
194083,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25468.638,K AYAYA
194084,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25469.218999999997,EU LOST TO THIS OMEGALUL
194085,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:32,25469.27,@VADIKUS007 forsen1 forsenBoys i c bajs
194086,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25469.725,Gam Win
194087,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25469.783,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194088,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25469.877999999997,Free HONG KONG SwiftRage SwiftRage
194089,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25469.975,PINK KEYBOARD IS HE SO KappaPride
194090,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25470.18,NA > EU
194091,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25470.228,MingLee
194092,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25470.236,RIP EU LUL
194093,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:33,25470.277000000002,"2 ""NA teams"" played today, only 3 north american players played today tho LULW"
194094,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.382,FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail FREE HONG KONG BloodTrail
194095,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.412999999997,Go Splyce #CsacsyCarry
194096,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.578999999998,POGGERS
194097,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.632999999998,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194098,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.902000000002,LEVI Pog
194099,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.936,NaM Clap
194100,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25470.943,ratirlLouder ratirlOpen ratirlOpen ratirlOpen
194101,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25471.08,WutFace
194102,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25471.12,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM 1
194103,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25471.222,okkkkk
194104,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:34,25471.285,LEVI
194105,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25471.533,KappaPride
194106,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25471.751,TTours
194107,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25471.866,NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis
194108,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25472.01,LEVI KappaPride LEVI KappaPride LEVI KappaPride
194109,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25472.113999999998,NA BEATEN BY VIETNAMESE FARMERS LUL
194110,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25472.145,KI AYAYA
194111,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:35,25472.235,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194112,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.314,GAM = WEEBS
194113,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.372000000003,Kobbe has been playing vs Syndra bto since msi hahaha
194114,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.416,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194115,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.432,PogU
194116,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.493,V
194117,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.542,LEVI KHAZIX GOD
194118,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.576,Kappapride
194119,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.659,NaM Clap
194120,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.664,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194121,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.874,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM
194122,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25472.885,EU 0-3 OMEGALUL
194123,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25473.057,KI AYAYA
194124,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25473.104,viet NaM
194125,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:36,25473.171000000002,WutFace
194126,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25473.612999999998,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM
194127,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25473.744,FREE KING KONG PepeLaugh FREESM WUKONG PepeLaugh EMPIRE STATE BUILDING PepeLaugh HARAMBE PepeHands
194128,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25473.795,AngelThump
194129,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25473.807999999997,NaM COPY THIS NaM TO HELP NaM TO HELP NaM VIETNAM NaM
194130,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25473.841,HUEHUE
194131,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25474.006,LEVIIIIIIIIIIIIIIIIIII
194132,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25474.028,leeeeeeviiiiiii
194133,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:37,25474.218999999997,NaM Clap
194134,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25474.542,G2 WILL WIN THE WORLDS EASILY <3
194135,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25474.724,TAIWAN #1
194136,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25474.747000000003,LEVI Pog
194137,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25474.808999999997,EU CAN'T WIN GAME AT WORLDS
194138,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25475.058999999997,lag
194139,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:38,25475.21,NaM
194140,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:39,25475.528,PogChamp PogChamp PogChamp PogChamp
194141,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.386000000002,LEVI Let's go BRO
194142,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.509,KappaPride KappaPride
194143,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.55,Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL Aniki LUL
194144,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.558999999997,KI AYAYA
194145,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.587000000003,LULW LULW LULW
194146,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.599,KonCha KonCha
194147,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.701,@VADIKUS007
194148,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.862999999998,Levi Pog
194149,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.867000000002,KOREA OUTDATED LUL G2 OVERATED LUL LONG HAVE WE WAITED LUL VIETNAM ACTIVATED
194150,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.9,TTours
194151,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.927000000003,@VADIKUS007 weebikus forsenAngry
194152,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25476.949,Dangerous monkaS
194153,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25477.121,KI AYAYA
194154,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:40,25477.272,@beepbeepz Malding
194155,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25477.869,@VADIKUS007 PogU
194156,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25477.931,!BloodTrail BloodTrail BloodTrail
194157,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25477.94,a co jak FPX nie wyjdzie z grupy? xD
194158,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25477.99,monkaW
194159,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25478.057999999997,tyler1SSJ tyler1SSJ tyler1SSJ tyler1SSJ
194160,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25478.132999999998,NaM 👏
194161,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:41,25478.203999999998,Pog
194162,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:42,25478.351000000002,SNEK
194163,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:42,25478.465,NaM
194164,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:42,25478.938,why not KASS MID
194165,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.389,MercyWing1 GAM MercyWing2
194166,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.417,NaM COPY NaM THIS NaM NAM NaM TO NaM HELP NaM GAM NaM !
194167,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.813,forsen1
194168,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.814,WH OMEGALUL
194169,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.892999999996,POGGERS POGGERS POGGERS POGGERS POGGERS POGGERS POGGERS POGGERS POGGERS
194170,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.912,HYPE
194171,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.952999999998,SHARP
194172,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25479.978,5 fps
194173,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25480.139,POGGERS
194174,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25480.164,agrAYAYA agrAYAYA agrAYAYA agrAYAYA agrAYAYA agrAYAYA
194175,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:43,25480.164,360
194176,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:44,25480.322999999997,FREE HONG KONG SeemsGood
194177,Groups Day 1 | 2019 World Championship,League of Legends,135975,29238,2019-10-13 02:47:44,25480.37,pepeD pepeD pepeD
