,leage,game,view,length,real_time,duration,chat
54930,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.825,BigPhish NaM Winnie the Pooh BigPhish NaM The Tiananmen Square Massacre BigPhish NaM Free Hong Kong BigPhish NaM
54931,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.991000000002,FREE HONG KONG
54932,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.998,Are we sure that’s not sneaky as ref?
54933,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14755.208,PogChamp
54934,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14755.475,shipAYAYA shipAYAYA shipAYAYA
54935,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14755.617,Can we free the chat from all the idiots 🥺?
54936,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14755.74,Zappa
54937,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14755.898000000001,veigar bot Pepega
54938,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14756.175,BEST REF
54939,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:36,14756.938,mandioSHH mandioSHH mandioSHH mandioLamb mandioLamb mandioUUUU mandioUUUU
54940,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:36,14757.277,FREE HONG KONG SwiftRage SwiftRage
