,leage,game,view,length,real_time,duration,chat
23131,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:44,6868.009,muteed
23132,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:44,6868.014,POG
23133,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:44,6868.142,HERE WE GO
23134,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:44,6868.165,Faker Pog
23135,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:44,6868.229,THANOS D:
23136,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.464,Start the RISE song now PogChamp
23137,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.569,SKT SwiftRage SwiftRage SwiftRage SwiftRage
23138,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.618,WINK LUL
23139,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.67,uwu
23140,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.687,TEEMO LUL
23141,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.701,hexarcKnuckles hexarcKnuckles hexarcKnuckles hexarcKnuckles hexarcKnuckles hexarcKnuckles hexarcKnuckles VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo
23142,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.74,OMEGAPOG
23143,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.759,WILD AND FREE LUL
23144,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6868.786999999999,monkaW
23145,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6869.003000000001,they should have the casters talk during this scene
23146,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6869.121,moon2SPY
23147,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6869.236,H-here we go! haHAA
23148,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:45,6869.267,LETS GOOOOOOOOO
23149,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.331999999999,pepeGa
23150,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.460999999999,WINK
23151,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.484,WINK monkaW
23152,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.576999999999,FAKER RYZE WutFace WutFace WutFace
23153,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.633000000001,haHAA
23154,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.717,monkaW LEGENDS monkaW LEGENDS monkaW LEGENDS monkaW LEGENDS
23155,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.874,HERE WE GO monkaW
23156,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.883000000001,PogU
23157,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.9,I can hear he is super excited
23158,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.934,FREE HONGKONG
23159,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6869.964,monkaW
23160,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6870.063,LETS GOOOOOOOOOOO
23161,Worlds 2019 Groups Day 7,League of Legends,111307,27912,2019-10-19 21:14:46,6870.145,monkaS
