,leage,game,view,length,real_time,duration,chat
49823,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:34,12821.388,Kappa
49824,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:34,12821.419,Kappa Clap
49825,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:34,12821.712,#OCe
49826,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:34,12821.719,monkaHmm POST monkaHmm THIS monkaHmm HMM monkaHmm TO monkaHmm monkaHmm HELP monkaHmm THE MMM monkaHmm
49827,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:34,12822.07,TRIPLE ORIANNA POG
49828,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:35,12823.028999999999,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair."
49829,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:35,12823.149,STRAYA
49830,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:36,12823.633,Kappa
49831,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:37,12824.337,\ 🐨 / \ 🐨 / \ 🐨 / \ 🐨 /
49832,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:37,12824.389,monkaHmm mmmmmmmmm
49833,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:37,12825.12,squilS
49834,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:38,12825.389,AUSSIE AUSSIE AUSSIE
49835,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:38,12825.596000000001,COPY monkaHmm THIS monkaHmm HMM monkaHmm TO monkaHmm HELP monkaHmm THE MMM monkaHmm
49836,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:38,12825.986,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair."
49837,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.313999999998,monkaHmm interesting...
49838,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.405,SingsNote SingsMic <3 AYAYA KIMI NO SEI KIMI NO SEI SingsNote SingsMic <3 AYAYA KIMI NO SEI KIMI NO SEI DE WATASHI UWU AYAYA
49839,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.456,AYAYA CIK
49840,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.468,MAMM OMEGALUL TH
49841,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.528999999999,mods cmonBruh ?
49842,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.643,think pink! KappaPride
49843,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.798999999999,MMMMMMMMMMMMM
49844,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:39,12826.873,well then help with climate change aussies smh
49845,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:40,12827.705,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair midbMald"
49846,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:40,12828.067,"Australians all let us rejoice For she is young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair"
49847,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:41,12828.704,POST monkaHmm THIS monkaHmm HMM monkaHmm TO monkaHmm HELP monkaHmm THE MMM monkaHmm POST monkaHmm THIS monkaHmm HMM monkaHmm TO monkaHmm HELP monkaHmm THE MMM monkaHmm
49848,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:41,12828.848,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair"
49849,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:41,12829.095,AHAHA SIC
49850,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:41,12829.197,ELLIOT TO THE LIONS
49851,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:41,12829.221000000001,holy copy pasta
49852,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:42,12829.518999999998,Train plays on UOL?
49853,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:42,12830.183,"No Teemo pick? These guys don't deserve to even consider the possibility of watching Worlds. Honestly, its just straight up embarrassing that professional League of Legends has sunk so low."
49854,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:42,12830.237,HKA LULW
49855,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:43,12830.719,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair."
49856,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:43,12831.165,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair."
49857,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:44,12831.719,Kappa
49858,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:44,12831.948,Kappa
49859,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:45,12832.868,bUrself bzz bUrself bzz bUrself the bUrself chat-spam bUrself away bUrself
49860,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:45,12833.246000000001,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair.!"
49861,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:46,12833.989,#UOL
49862,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:46,12834.063999999998,MODS PLS
49863,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:47,12834.303999999998,OI oi OI
49864,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:47,12834.46,Kappa
49865,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:47,12834.615,NA disappoints me every year NotLikeThis NotLikeThis NotLikeThis
49866,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:47,12834.827,"Australians all let us rejoice For we are young and free We've golden soil and wealth for toil, Our home is girt by sea Our land abounds in nature's gifts Of beauty, rich and rare In history's page let every stage Advance Australia fair"
49867,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12835.418,SYNDRA ADC WutFace WutFace WutFace WutFace
49868,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12835.515,HKA LUL
49869,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12835.886,Ninja literally made gaming mainstream. Before him people looked down on gaming like it was only for nerds or whatever. He made it okay for everyone to play video games without beings called a virgin or nerd
49870,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12835.91,MMMMMMMMMMMMMMMMMMMM
49871,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12836.093,FeelsWeirdMan ONLY DESERT FeelsWeirdMan SPIDERS AND SNAKES FeelsWeirdMan PRISON COLONY FeelsWeirdMan LOST WAR AGAINST BIRDS FeelsWeirdMan
49872,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:48,12836.219,Pog
49873,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-04 21:21:49,12836.981000000002,Kappa
