,leage,game,view,length,real_time,duration,chat
184683,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:51,27334.011000000002,MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy MIXER NinjaGrumpy
184684,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:51,27334.24,MorphinTime COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC MorphinTime COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC
184685,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:51,27334.248,gg
184686,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:51,27334.271,gg 3-0
184687,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.471,FF @ 15
184688,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.513,MorphinTime COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC MorphinTime
184689,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.583,GO FNC
184690,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.641,COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC
184691,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.702999999998,💿
184692,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.928,COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC MorphinTime COPY MorphinTime THIS MorphinTime STATIC MorphinTime TO MorphinTime HELP MorphinTime FNATIC
184693,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27334.98,💿
184694,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27335.092,STATIC
184695,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-27 00:57:52,27335.113999999998,BYE EU
