,leage,game,view,length,real_time,duration,chat
102266,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:06,25625.212000000003,TK>EUW
102267,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.349,FLAMENGOOO
102268,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.634,Pog 📣 FLAMENGOOOOOOOOOOOOOOOO
102269,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.784,Pepega Clap
102270,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.835,monkaS
102271,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.868,VAMOSSSSSSSSSSS
102272,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25625.881,cLOSER
102273,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25626.123,LULW
102274,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:07,25626.297000000002,monkaHmm monkaHmm FLA vs RYL
102275,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25626.334,BRTT > DL
102276,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25626.431,4Head
102277,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25626.552000000003,Pepega 📣 Flamengoooooooo
102278,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25626.832000000002,Pepega 📣 FLAMEEEEEEEEEENGO
102279,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25627.022,MENGOOOOOO
102280,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:08,25627.099,HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZI HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRA ss
102281,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25627.307,BRA71L
102282,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25627.68,Pepega 📣 FLAMENGOOO
102283,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25627.681,Pog 📣 FLAMENGOOOOOOOOO
102284,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25627.748,HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys BYE BRAZIL HeyGuys.
102285,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25627.891,Pepega FAVELA fans Pepega
102286,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:09,25628.017999999996,Pepega 📣 FLAMEEEEEENGOOOOO
102287,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:10,25628.319,SHEVIII ZIKOU
102288,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:10,25628.341,Pepega
102289,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:10,25628.381,Morons
102290,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:10,25628.479,Crowd PogChamp
102291,Play-In Groups Day 4 | 2019 World Championship,League of Legends,46110,29228,2019-10-06 00:55:10,25628.908,Go rly win
