,leage,game,view,length,real_time,duration,chat
29660,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:15,5173.139,Let’s go
29661,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:15,5173.205,-_____________-
29662,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.305,TTours INC
29663,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.457,WORLD SONG ??
29664,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.516,!uptime
29665,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.635,FATWARD OMEGALUL
29666,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.892,Kreygasm
29667,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.919,TRIST MID POOOG
29668,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.946,LIRA LUL
29669,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.96,105K PogChamp PogChamp PogChamp PogChamp
29670,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5173.971,RIP NA LULW
29671,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.068,Interior crocodile alligator
29672,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.082,heimer ad
29673,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.14,KEKW
29674,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.155,offici825KEK offici825KEK offici825KEK offici825KEK offici825KEK
29675,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.163,Kreygasm
29676,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.181,uli Pog
29677,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:16,5174.1990000000005,NORTH ASIA Jebaited
29678,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.441,IMAGINE BEING OMEGALUL SO INCOMPETENT 🤡 YOU DON'T RELEASE THE WORLDS SONG OMEGALUL BEFORE WORLDS STARTS 🤡
29679,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.444,IS HJARNAN IN UOL?
29680,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.585,|lIIII|
29681,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.641,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
29682,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.765,10/10
29683,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.85,EU > WORLD
29684,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5174.893,UTI
29685,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5175.123,KKona BrokeBack
29686,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:17,5175.196,ratirlCozy
29687,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.375,KKona Conserverative
29688,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.378,Reksai in 2019 LUL
29689,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.529,cg outdrafted so hard its sad
29690,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.611,C OMEGALUL D Y S U N NOSE OMEGALUL
29691,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.76,Kreygasm I LOST
29692,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.81,spoilers huni feeds
29693,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.847,TSM TSM TSM
29694,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.916,AYAYA
29695,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.960999999999,hire more asians NA FeelsOkayMan
29696,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.97,@ckadian yes
29697,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.975,innaxe = hjarnan?
29698,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5175.985,EZ CG EZ
29699,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5176.028,???
29700,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5176.083,Lira eyes
29701,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5176.092000000001,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
29702,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5176.1,Kreygasm I LOST
29703,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:18,5176.144,5 MAN 9 BROWS 1 DREAM
29704,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.378,ITS TANNER TIME CoolCat
29705,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.379,VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo
29706,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.406,@jpylex pantheon rework theme
29707,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.415,yuli Kreygasm
29708,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.494000000001,Kreygasm
29709,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.523,BOSS SMOrc ME SMASH
29710,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.537,LIRA EYES CLOSED
29711,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.573,no song no hype
29712,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.677,-___-
29713,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5176.768,haHAA Cik
29714,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5177.069,AYAYA ref
29715,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5177.071,dat girl
29716,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5177.141,Kreygasm
29717,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:19,5177.188,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
29718,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.397,yuliYAYA yuliYAYA
29719,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.516,@phaeism
29720,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.516,4Head
29721,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.615,ratirlMangoS ?
29722,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.725,YULI AYAYA
29723,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.811,NA > EU lettalDab
29724,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5178.972,yes
29725,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5179.023,!uptime
29726,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:21,5179.145,Wag Kayo Mag Ekko Kung Di Kayo Si Forj
29727,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.366,TANNER TIME LULW
29728,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.379,wtf is this draft
29729,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.394,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
29730,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.431,ratirlCannon
29731,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.502,wtf 2 edwards?
29732,Worlds 2019 Play-In Groups Day 1,League of Legends,77821,27844,2019-10-02 20:14:22,5179.526,OH MA GAWD Kreygasm
