,leage,game,view,length,real_time,duration,chat
38464,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:28,10909.196000000002,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
38465,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:29,10909.368999999999,EXECUTE ORDER 66 DarkMode EXECUTE ORDER 66
38466,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:29,10909.536,:/ hate mobile net in England
38467,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:30,10910.341999999999,"Five demand,not one less Five demand,not one less"
38468,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:30,10910.511,Hka win 3-2lSG
38469,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:30,10910.71,BU♿♿AX
38470,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:30,10910.838,chinese hair is always the same
38471,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:31,10911.462,FREE HONG KONG FREE BLIZZARD FREE NBA
38472,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:31,10911.845,ISURUS SHO TE AMO SabaPing SIEMPRE TE SIGO A TODOS LADOS DE CORAZON SabaPing PONGAN MAS HUEVO SabaPing PORQUE A ISURUS LO QUEREMOS VER CAMPEON
38473,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:32,10912.328000000001,ratirlMangoS IT ratirlMangoG TAKES ratirlMangoS MORE ratirlMangoG THAN ratirlMangoS ONE ratirlMangoG MANGO ratirlMangoS TO ratirlMangoG TANGO ratirlMangoS g
38474,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:32,10912.363000000001,haHAA I RIDICULE POLITICAL ACTIVISM. haHAA POLITICS DONT AFFECT ME RIGHT? haHAA
38475,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:33,10913.301000000001,SwiftRage 📣 FREE HONG KONG
38476,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:33,10914.001,HKA add oll!
38477,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:33,10914.062,FREE HONG KONG SwiftRage FREE NBA SwiftRage FREE CHINNARD SwiftRage
38478,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:33,10914.161,FREE HONG KONG
38479,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:33,10914.218,still not ban akali
38480,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10914.358,calm down chat ResidentSleeper
38481,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10914.723,Oddidh
38482,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10914.881000000001,FeelsBadMan free hong kong
38483,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10914.906,Free CCP
38484,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10914.99,Almost Koreans say 'Free HK'
38485,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:34,10915.12,FREE HONG KONG
38486,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:35,10915.49,Message by China republic: FREEDOM for HONG KONG!!!
38487,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:35,10915.782,FIGHT FOR FREEDOM SwiftRage SwiftRage STAND WITH HONG KONG SwiftRage SwiftRage
38488,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:35,10915.851999999999,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
38489,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:35,10916.153999999999,Pvman = GG ratirlMangoS
38490,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:36,10916.315,LEST GO HONG KONG
38491,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:36,10916.883,FREE HONK KONG
38492,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:37,10917.407,EarthDay WE EarthDay WANT EarthDay WORLDS EarthDay SONG EarthDay
38493,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:37,10917.446000000002,EU SO QUIET PepeLaugh EU SO QUIET PepeLaugh EU SO QUIET PepeLaugh
38494,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 21:54:37,10918.104,FREE HONG KONG SwiftRage FREE NBA SwiftRage FREE Blizz
