,leage,game,view,length,real_time,duration,chat
30816,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:28,6971.295999999999,lol phreak
30817,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.304,Poppy deals say much damage than you all imagine Chat LUL
30818,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.342,POPPY MAIN HEREE BRUUH
30819,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.349,GRIFFIN NO DMG GGGGG LOLLLLLLLLLLLLLLL
30820,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.621,LUL
30821,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.726,O DMG LULW
30822,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.731,wtf GRIFFIn
30823,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.84,GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ GO IG EZ
30824,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.865,yordle comp
30825,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.956999999999,lehends is the carry
30826,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6971.988,SORC GAREN FTW
30827,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6972.035,hype
30828,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6972.036,"IG has already won, if griffin doesnt push hard early then kog is going to end this"
30829,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6972.0419999999995,!r
30830,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6972.133000000001,Pog
30831,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:29,6972.201,YUUMI DPS LULW
30832,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:30,6972.311,Pog
30833,Worlds 2019 Quarterfinals Day 1,League of Legends,102076,34210,2019-10-26 19:18:30,6972.361,LETS GOOOO
